cluster,band,central_frequency,boresight_position,beam_x_deg,beam_y_deg,beam_angle,date,nantennas_requested,overlap,region,beams_required
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.006984923906370066,0.0021081775442721193,-23.687238459905902,2023-05-15 19:37:05.389000,64,0.5,twice_half_light_radius,389
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.01752905978334088,0.006243064500941787,-18.119837661318076,2023-05-15 19:37:05.389000,40,0.6,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.01752905978334088,0.006243064500941787,-18.119837661318076,2023-05-15 19:37:05.389000,40,0.6,half_light,11
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.01752905978334088,0.006243064500941787,-18.119837661318076,2023-05-15 19:37:05.389000,40,0.6,twice_half_light_radius,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011775190652178198,0.003438664658343959,-23.6494538460675,2023-05-15 19:37:05.389000,52,0.6,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011775190652178198,0.003438664658343959,-23.6494538460675,2023-05-15 19:37:05.389000,52,0.6,half_light,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011775190652178198,0.003438664658343959,-23.6494538460675,2023-05-15 19:37:05.389000,52,0.6,twice_half_light_radius,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.008565510132540553,0.0026440413058328722,-21.868900640770036,2023-05-15 19:37:05.389000,56,0.6,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.008565510132540553,0.0026440413058328722,-21.868900640770036,2023-05-15 19:37:05.389000,56,0.6,half_light,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.008565510132540553,0.0026440413058328722,-21.868900640770036,2023-05-15 19:37:05.389000,56,0.6,twice_half_light_radius,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0053691153488186205,0.0025051989290333357,-21.109648994123454,2023-05-15 19:37:05.389000,60,0.6,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0053691153488186205,0.0025051989290333357,-21.109648994123454,2023-05-15 19:37:05.389000,60,0.6,half_light,97
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0053691153488186205,0.0025051989290333357,-21.109648994123454,2023-05-15 19:37:05.389000,60,0.6,twice_half_light_radius,389
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.004594452403729393,0.001580978563200042,-19.319664447109506,2023-05-15 19:37:05.389000,64,0.6,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.004594452403729393,0.001580978563200042,-19.319664447109506,2023-05-15 19:37:05.389000,64,0.6,half_light,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.004594452403729393,0.001580978563200042,-19.319664447109506,2023-05-15 19:37:05.389000,64,0.6,twice_half_light_radius,781
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011576709126003205,0.004090746643839694,-18.048793762534757,2023-05-15 19:37:05.389000,40,0.8,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011576709126003205,0.004090746643839694,-18.048793762534757,2023-05-15 19:37:05.389000,40,0.8,half_light,47
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.011576709126003205,0.004090746643839694,-18.048793762534757,2023-05-15 19:37:05.389000,40,0.8,twice_half_light_radius,97
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0063545925582988,0.002150007592444277,-21.08018951965824,2023-05-15 19:37:05.389000,52,0.8,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0063545925582988,0.002150007592444277,-21.08018951965824,2023-05-15 19:37:05.389000,52,0.8,half_light,97
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0063545925582988,0.002150007592444277,-21.08018951965824,2023-05-15 19:37:05.389000,52,0.8,twice_half_light_radius,389
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.00448490709000678,0.0016696603066772215,-20.355110080171848,2023-05-15 19:37:05.389000,56,0.8,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.00448490709000678,0.0016696603066772215,-20.355110080171848,2023-05-15 19:37:05.389000,56,0.8,half_light,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.00448490709000678,0.0016696603066772215,-20.355110080171848,2023-05-15 19:37:05.389000,56,0.8,twice_half_light_radius,781
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0024947921444815613,0.0016157735268024387,-13.253762798076414,2023-05-15 19:37:05.389000,60,0.8,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0024947921444815613,0.0016157735268024387,-13.253762798076414,2023-05-15 19:37:05.389000,60,0.8,half_light,389
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0024947921444815613,0.0016157735268024387,-13.253762798076414,2023-05-15 19:37:05.389000,60,0.8,twice_half_light_radius,1561
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0019358092943649059,0.0009842642106436658,-6.711451870849621,2023-05-15 19:37:05.389000,64,0.8,core,5
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0019358092943649059,0.0009842642106436658,-6.711451870849621,2023-05-15 19:37:05.389000,64,0.8,half_light,781
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0019358092943649059,0.0009842642106436658,-6.711451870849621,2023-05-15 19:37:05.389000,64,0.8,twice_half_light_radius,3125
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.00782450589673981,0.0027834112794480692,-17.30621069763137,2023-05-15 19:37:05.389000,40,0.9,core,1
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.00782450589673981,0.0027834112794480692,-17.30621069763137,2023-05-15 19:37:05.389000,40,0.9,half_light,97
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.00782450589673981,0.0027834112794480692,-17.30621069763137,2023-05-15 19:37:05.389000,40,0.9,twice_half_light_radius,195
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.003586379742174768,0.0014715812272377419,-16.56939467825884,2023-05-15 19:37:05.389000,52,0.9,core,3
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.003586379742174768,0.0014715812272377419,-16.56939467825884,2023-05-15 19:37:05.389000,52,0.9,half_light,291
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.003586379742174768,0.0014715812272377419,-16.56939467825884,2023-05-15 19:37:05.389000,52,0.9,twice_half_light_radius,781
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0027646113912926634,0.0011186162623218702,-17.672041072805197,2023-05-15 19:37:05.389000,56,0.9,core,3
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0027646113912926634,0.0011186162623218702,-17.672041072805197,2023-05-15 19:37:05.389000,56,0.9,half_light,389
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0027646113912926634,0.0011186162623218702,-17.672041072805197,2023-05-15 19:37:05.389000,56,0.9,twice_half_light_radius,1561
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0016023710712019395,0.001087491786645403,-11.06593778977435,2023-05-15 19:37:05.389000,60,0.9,core,5
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0016023710712019395,0.001087491786645403,-11.06593778977435,2023-05-15 19:37:05.389000,60,0.9,half_light,781
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0016023710712019395,0.001087491786645403,-11.06593778977435,2023-05-15 19:37:05.389000,60,0.9,twice_half_light_radius,3125
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0012540626099127841,0.0006571830087252757,-5.191273604679827,2023-05-15 19:37:05.389000,64,0.9,core,11
NGC_6752,LBAND,1284000000.0,19:10:52.11 -59:59:04.40,0.0012540626099127841,0.0006571830087252757,-5.191273604679827,2023-05-15 19:37:05.389000,64,0.9,half_light,1561
