CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.0006219266767480983
Beam_y_deg: 0.00033245424450032264
Beam_angle: -10.812910169516986
Overlap: 0.95
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf1146	21:40:23.09	-23:09:58.50
cfbf1147	21:40:19.59	-23:10:07.74
cfbf1148	21:40:23.41	-23:09:57.66
cfbf1149	21:40:19.27	-23:10:08.58
cfbf1150	21:40:23.73	-23:09:56.82
cfbf1151	21:40:18.95	-23:10:09.42
cfbf1152	21:40:24.05	-23:09:55.98
cfbf1153	21:40:18.63	-23:10:10.26
cfbf1154	21:40:24.37	-23:09:55.14
cfbf1155	21:40:18.31	-23:10:11.10
cfbf1156	21:40:17.99	-23:10:11.94
cfbf1157	21:40:22.74	-23:11:32.30
cfbf1158	21:40:22.42	-23:11:33.14
cfbf1159	21:40:23.06	-23:11:31.46
cfbf1160	21:40:22.10	-23:11:33.98
cfbf1161	21:40:23.38	-23:11:30.62
cfbf1162	21:40:21.78	-23:11:34.82
cfbf1163	21:40:23.70	-23:11:29.78
cfbf1164	21:40:21.46	-23:11:35.66
cfbf1165	21:40:24.02	-23:11:28.93
cfbf1166	21:40:21.15	-23:11:36.50
cfbf1167	21:40:24.34	-23:11:28.09
cfbf1168	21:40:20.83	-23:11:37.34
cfbf1169	21:40:24.65	-23:11:27.25
cfbf1170	21:40:20.51	-23:11:38.18
cfbf1171	21:40:24.97	-23:11:26.41
cfbf1172	21:40:20.19	-23:11:39.02
cfbf1173	21:40:25.29	-23:11:25.57
cfbf1174	21:40:19.87	-23:11:39.86
cfbf1175	21:40:25.61	-23:11:24.73
cfbf1176	21:40:25.93	-23:11:23.89
cfbf1177	21:40:26.25	-23:11:23.05
cfbf1178	21:40:21.31	-23:10:01.09
cfbf1179	21:40:21.63	-23:10:00.25
cfbf1180	21:40:20.99	-23:10:01.93
cfbf1181	21:40:21.95	-23:09:59.41
cfbf1182	21:40:20.67	-23:10:02.77
cfbf1183	21:40:22.27	-23:09:58.57
cfbf1184	21:40:20.36	-23:10:03.61
cfbf1185	21:40:22.59	-23:09:57.73
cfbf1186	21:40:20.04	-23:10:04.45
cfbf1187	21:40:22.91	-23:09:56.89
cfbf1188	21:40:19.72	-23:10:05.29
cfbf1189	21:40:23.23	-23:09:56.05
cfbf1190	21:40:19.40	-23:10:06.13
cfbf1191	21:40:23.54	-23:09:55.21
cfbf1192	21:40:19.08	-23:10:06.97
cfbf1193	21:40:23.86	-23:09:54.37
cfbf1194	21:40:18.76	-23:10:07.81
cfbf1195	21:40:24.18	-23:09:53.53
cfbf1196	21:40:18.44	-23:10:08.65
cfbf1197	21:40:18.12	-23:10:09.49
cfbf1198	21:40:22.61	-23:11:34.75
cfbf1199	21:40:22.93	-23:11:33.91
cfbf1200	21:40:22.29	-23:11:35.59
cfbf1201	21:40:23.25	-23:11:33.07
cfbf1202	21:40:21.97	-23:11:36.43
cfbf1203	21:40:23.57	-23:11:32.23
cfbf1204	21:40:21.65	-23:11:37.27
cfbf1205	21:40:23.89	-23:11:31.39
cfbf1206	21:40:21.33	-23:11:38.11
cfbf1207	21:40:24.20	-23:11:30.55
cfbf1208	21:40:21.01	-23:11:38.95
cfbf1209	21:40:24.52	-23:11:29.71
cfbf1210	21:40:20.70	-23:11:39.79
cfbf1211	21:40:24.84	-23:11:28.87
cfbf1212	21:40:20.38	-23:11:40.63
cfbf1213	21:40:25.16	-23:11:28.03
cfbf1214	21:40:20.06	-23:11:41.47
cfbf1215	21:40:25.48	-23:11:27.19
cfbf1216	21:40:25.80	-23:11:26.35
cfbf1217	21:40:26.12	-23:11:25.51
cfbf1218	21:40:21.44	-23:09:58.63
cfbf1219	21:40:21.12	-23:09:59.47
cfbf1220	21:40:21.76	-23:09:57.79
cfbf1221	21:40:20.81	-23:10:00.31
cfbf1222	21:40:22.08	-23:09:56.95
cfbf1223	21:40:20.49	-23:10:01.15
cfbf1224	21:40:22.40	-23:09:56.11
cfbf1225	21:40:20.17	-23:10:01.99
cfbf1226	21:40:22.72	-23:09:55.27
cfbf1227	21:40:19.85	-23:10:02.83
cfbf1228	21:40:23.04	-23:09:54.43
cfbf1229	21:40:19.53	-23:10:03.67
cfbf1230	21:40:23.36	-23:09:53.59
cfbf1231	21:40:19.21	-23:10:04.51
cfbf1232	21:40:23.68	-23:09:52.75
cfbf1233	21:40:18.89	-23:10:05.35
cfbf1234	21:40:23.99	-23:09:51.91
cfbf1235	21:40:18.57	-23:10:06.19
cfbf1236	21:40:22.80	-23:11:36.37
cfbf1237	21:40:22.48	-23:11:37.21
cfbf1238	21:40:23.12	-23:11:35.53
cfbf1239	21:40:22.16	-23:11:38.05
cfbf1240	21:40:23.43	-23:11:34.69
cfbf1241	21:40:21.84	-23:11:38.89
cfbf1242	21:40:23.75	-23:11:33.85
cfbf1243	21:40:21.52	-23:11:39.73
cfbf1244	21:40:24.07	-23:11:33.01
cfbf1245	21:40:21.20	-23:11:40.57
cfbf1246	21:40:24.39	-23:11:32.17
cfbf1247	21:40:20.88	-23:11:41.41
cfbf1248	21:40:24.71	-23:11:31.33
cfbf1249	21:40:20.56	-23:11:42.25
cfbf1250	21:40:25.03	-23:11:30.49
cfbf1251	21:40:20.24	-23:11:43.09
cfbf1252	21:40:25.35	-23:11:29.65
cfbf1253	21:40:25.67	-23:11:28.81
cfbf1254	21:40:21.26	-23:09:57.02
cfbf1255	21:40:21.57	-23:09:56.18
cfbf1256	21:40:20.94	-23:09:57.86
cfbf1257	21:40:21.89	-23:09:55.34
cfbf1258	21:40:20.62	-23:09:58.70
cfbf1259	21:40:22.21	-23:09:54.50
cfbf1260	21:40:20.30	-23:09:59.54
cfbf1261	21:40:22.53	-23:09:53.66
cfbf1262	21:40:19.98	-23:10:00.38
cfbf1263	21:40:22.85	-23:09:52.82
cfbf1264	21:40:19.66	-23:10:01.21
cfbf1265	21:40:23.17	-23:09:51.98
cfbf1266	21:40:19.34	-23:10:02.05
cfbf1267	21:40:23.49	-23:09:51.13
cfbf1268	21:40:19.02	-23:10:02.89
cfbf1269	21:40:23.81	-23:09:50.29
cfbf1270	21:40:22.67	-23:11:38.82
cfbf1271	21:40:22.98	-23:11:37.98
cfbf1272	21:40:22.35	-23:11:39.66
cfbf1273	21:40:23.30	-23:11:37.14
cfbf1274	21:40:22.03	-23:11:40.50
cfbf1275	21:40:23.62	-23:11:36.30
cfbf1276	21:40:21.71	-23:11:41.34
cfbf1277	21:40:23.94	-23:11:35.46
cfbf1278	21:40:21.39	-23:11:42.18
cfbf1279	21:40:24.26	-23:11:34.62
cfbf1280	21:40:21.07	-23:11:43.02
cfbf1281	21:40:24.58	-23:11:33.78
cfbf1282	21:40:20.75	-23:11:43.86
cfbf1283	21:40:24.90	-23:11:32.94
cfbf1284	21:40:20.43	-23:11:44.70
cfbf1285	21:40:25.22	-23:11:32.10
cfbf1286	21:40:21.39	-23:09:54.56
cfbf1287	21:40:21.07	-23:09:55.40
cfbf1288	21:40:21.71	-23:09:53.72
cfbf1289	21:40:20.75	-23:09:56.24
cfbf1290	21:40:22.02	-23:09:52.88
cfbf1291	21:40:20.43	-23:09:57.08
cfbf1292	21:40:22.34	-23:09:52.04
cfbf1293	21:40:20.11	-23:09:57.92
cfbf1294	21:40:22.66	-23:09:51.20
cfbf1295	21:40:19.79	-23:09:58.76
cfbf1296	21:40:22.98	-23:09:50.36
cfbf1297	21:40:19.47	-23:09:59.60
cfbf1298	21:40:23.30	-23:09:49.52
cfbf1299	21:40:22.85	-23:11:40.44
cfbf1300	21:40:22.53	-23:11:41.28
cfbf1301	21:40:23.17	-23:11:39.60
cfbf1302	21:40:22.22	-23:11:42.12
cfbf1303	21:40:23.49	-23:11:38.76
cfbf1304	21:40:21.90	-23:11:42.96
cfbf1305	21:40:23.81	-23:11:37.92
cfbf1306	21:40:21.58	-23:11:43.80
cfbf1307	21:40:24.13	-23:11:37.08
cfbf1308	21:40:21.26	-23:11:44.64
cfbf1309	21:40:24.45	-23:11:36.24
cfbf1310	21:40:20.94	-23:11:45.48
cfbf1311	21:40:24.77	-23:11:35.40
cfbf1312	21:40:21.20	-23:09:52.94
cfbf1313	21:40:21.52	-23:09:52.10
cfbf1314	21:40:20.88	-23:09:53.78
cfbf1315	21:40:21.84	-23:09:51.26
cfbf1316	21:40:20.56	-23:09:54.62
cfbf1317	21:40:22.16	-23:09:50.42
cfbf1318	21:40:20.24	-23:09:55.46
cfbf1319	21:40:22.47	-23:09:49.58
cfbf1320	21:40:19.92	-23:09:56.30
cfbf1321	21:40:22.79	-23:09:48.74
cfbf1322	21:40:19.60	-23:09:57.14
cfbf1323	21:40:23.11	-23:09:47.90
cfbf1324	21:40:22.72	-23:11:42.90
cfbf1325	21:40:23.04	-23:11:42.06
cfbf1326	21:40:22.40	-23:11:43.74
cfbf1327	21:40:23.36	-23:11:41.22
cfbf1328	21:40:22.08	-23:11:44.58
cfbf1329	21:40:23.68	-23:11:40.38
cfbf1330	21:40:21.77	-23:11:45.42
cfbf1331	21:40:24.00	-23:11:39.54
cfbf1332	21:40:21.45	-23:11:46.26
cfbf1333	21:40:24.32	-23:11:38.70
cfbf1334	21:40:21.13	-23:11:47.10
cfbf1335	21:40:24.64	-23:11:37.86
cfbf1336	21:40:21.33	-23:09:50.49
cfbf1337	21:40:21.01	-23:09:51.33
cfbf1338	21:40:21.65	-23:09:49.65
cfbf1339	21:40:20.69	-23:09:52.17
cfbf1340	21:40:21.97	-23:09:48.81
cfbf1341	21:40:20.37	-23:09:53.01
cfbf1342	21:40:22.29	-23:09:47.97
cfbf1343	21:40:20.05	-23:09:53.85
cfbf1344	21:40:22.61	-23:09:47.13
cfbf1345	21:40:22.93	-23:09:46.29
cfbf1346	21:40:22.91	-23:11:44.51
cfbf1347	21:40:22.59	-23:11:45.35
cfbf1348	21:40:23.23	-23:11:43.67
cfbf1349	21:40:22.27	-23:11:46.19
cfbf1350	21:40:23.55	-23:11:42.83
cfbf1351	21:40:21.95	-23:11:47.03
cfbf1352	21:40:23.87	-23:11:41.99
cfbf1353	21:40:21.63	-23:11:47.87
cfbf1354	21:40:24.19	-23:11:41.15
cfbf1355	21:40:21.31	-23:11:48.71
cfbf1356	21:40:21.14	-23:09:48.87
cfbf1357	21:40:21.46	-23:09:48.03
cfbf1358	21:40:20.82	-23:09:49.71
cfbf1359	21:40:21.78	-23:09:47.19
cfbf1360	21:40:20.50	-23:09:50.55
cfbf1361	21:40:22.10	-23:09:46.35
cfbf1362	21:40:22.42	-23:09:45.51
cfbf1363	21:40:22.74	-23:09:44.67
cfbf1364	21:40:22.78	-23:11:46.97
cfbf1365	21:40:23.10	-23:11:46.13
cfbf1366	21:40:22.46	-23:11:47.81
cfbf1367	21:40:23.42	-23:11:45.29
cfbf1368	21:40:22.14	-23:11:48.65
cfbf1369	21:40:23.74	-23:11:44.45
cfbf1370	21:40:21.82	-23:11:49.49
cfbf1371	21:40:21.50	-23:11:50.33
cfbf1372	21:40:21.27	-23:09:46.41
cfbf1373	21:40:20.96	-23:09:47.25
cfbf1374	21:40:21.59	-23:09:45.57
cfbf1375	21:40:21.91	-23:09:44.73
cfbf1376	21:40:22.23	-23:09:43.89
cfbf1377	21:40:22.55	-23:09:43.05
cfbf1378	21:40:22.97	-23:11:48.59
cfbf1379	21:40:22.65	-23:11:49.43
cfbf1380	21:40:23.29	-23:11:47.74
cfbf1381	21:40:22.33	-23:11:50.27
cfbf1382	21:40:22.01	-23:11:51.11
cfbf1383	21:40:21.69	-23:11:51.95
cfbf1384	21:40:21.41	-23:09:43.96
cfbf1385	21:40:21.72	-23:09:43.12
cfbf1386	21:40:22.04	-23:09:42.28
cfbf1387	21:40:22.36	-23:09:41.44
cfbf1388	21:40:22.83	-23:11:51.04
cfbf1389	21:40:22.52	-23:11:51.88
cfbf1390	21:40:22.20	-23:11:52.72
cfbf1391	21:40:21.88	-23:11:53.56
cfbf1392	21:40:21.54	-23:09:41.50
cfbf1393	21:40:21.86	-23:09:40.66
cfbf1394	21:40:22.17	-23:09:39.82
cfbf1395	21:40:22.70	-23:11:53.50
cfbf1396	21:40:22.38	-23:11:54.34
cfbf1397	21:40:22.07	-23:11:55.18
cfbf1398	21:40:21.99	-23:09:38.21
cfbf1399	21:40:22.25	-23:11:56.79
